n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
1056,1024,-32.308013501686034,0.01,16,32,5000,uha,5
2112,2048,-32.949307095571434,0.01,16,32,5000,uha,5
3168,3072,-28.487718178476143,0.01,16,32,5000,uha,5
4224,4096,-33.28498619110014,0.01,16,32,5000,uha,5
5280,5120,-32.94191875347419,0.01,16,32,5000,uha,5
6336,6144,-35.646230418846145,0.01,16,32,5000,uha,5
7392,7168,-29.444698185016065,0.01,16,32,5000,uha,5
8448,8192,-32.18904472549558,0.01,16,32,5000,uha,5
9504,9216,-30.654512219573363,0.01,16,32,5000,uha,5
10560,10240,-32.281279768855065,0.01,16,32,5000,uha,5
11616,11264,-26.010442549620368,0.01,16,32,5000,uha,5
12672,12288,-25.15334779725692,0.01,16,32,5000,uha,5
13728,13312,-32.546044723463616,0.01,16,32,5000,uha,5
14784,14336,-31.907108987058557,0.01,16,32,5000,uha,5
15840,15360,-26.515709163473442,0.01,16,32,5000,uha,5
16896,16384,-29.143802592995357,0.01,16,32,5000,uha,5
17952,17408,-32.93351456619946,0.01,16,32,5000,uha,5
19008,18432,-30.386874452813046,0.01,16,32,5000,uha,5
20064,19456,-33.471238882553266,0.01,16,32,5000,uha,5
21120,20480,-34.097211559518975,0.01,16,32,5000,uha,5
22176,21504,-32.338859063182596,0.01,16,32,5000,uha,5
23232,22528,-29.75945390372291,0.01,16,32,5000,uha,5
24288,23552,-30.996152800187488,0.01,16,32,5000,uha,5
25344,24576,-28.64101906361881,0.01,16,32,5000,uha,5
26400,25600,-21.287518835325685,0.01,16,32,5000,uha,5
27456,26624,-23.78341152529275,0.01,16,32,5000,uha,5
28512,27648,-31.517364309176628,0.01,16,32,5000,uha,5
29568,28672,-31.519025761835916,0.01,16,32,5000,uha,5
30624,29696,-32.44353694323818,0.01,16,32,5000,uha,5
31680,30720,-30.05636429869836,0.01,16,32,5000,uha,5
32736,31744,-28.55623360805965,0.01,16,32,5000,uha,5
33792,32768,-30.87196823612012,0.01,16,32,5000,uha,5
34848,33792,-33.97759299184,0.01,16,32,5000,uha,5
35904,34816,-25.880413625170707,0.01,16,32,5000,uha,5
