n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
1056,1024,-36.389942771265204,0.001,16,32,5000,uha,26
2112,2048,-30.492616963195182,0.001,16,32,5000,uha,26
3168,3072,-27.61458464596913,0.001,16,32,5000,uha,26
4224,4096,-31.79185730485226,0.001,16,32,5000,uha,26
5280,5120,-31.748553744742974,0.001,16,32,5000,uha,26
6336,6144,-33.991062059853064,0.001,16,32,5000,uha,26
7392,7168,-26.153934116989973,0.001,16,32,5000,uha,26
8448,8192,-35.39709171719327,0.001,16,32,5000,uha,26
9504,9216,-32.10568653422418,0.001,16,32,5000,uha,26
10560,10240,-35.54637947872529,0.001,16,32,5000,uha,26
11616,11264,-27.401607638060753,0.001,16,32,5000,uha,26
12672,12288,-29.584175547307215,0.001,16,32,5000,uha,26
13728,13312,-33.161614594320376,0.001,16,32,5000,uha,26
14784,14336,-34.32240661450493,0.001,16,32,5000,uha,26
15840,15360,-31.7012917929773,0.001,16,32,5000,uha,26
16896,16384,-32.528699611396256,0.001,16,32,5000,uha,26
17952,17408,-31.529527981716033,0.001,16,32,5000,uha,26
19008,18432,-35.67870111520348,0.001,16,32,5000,uha,26
20064,19456,-31.40855370589379,0.001,16,32,5000,uha,26
21120,20480,-26.815547193065846,0.001,16,32,5000,uha,26
22176,21504,-32.66326839214003,0.001,16,32,5000,uha,26
23232,22528,-34.42211112018065,0.001,16,32,5000,uha,26
24288,23552,-27.9296225270399,0.001,16,32,5000,uha,26
25344,24576,-34.55666927174634,0.001,16,32,5000,uha,26
26400,25600,-31.49653843313125,0.001,16,32,5000,uha,26
27456,26624,-31.878811868850505,0.001,16,32,5000,uha,26
28512,27648,-34.51467242837785,0.001,16,32,5000,uha,26
29568,28672,-28.211389123959947,0.001,16,32,5000,uha,26
30624,29696,-34.3488824059102,0.001,16,32,5000,uha,26
31680,30720,-30.298317924360695,0.001,16,32,5000,uha,26
32736,31744,-34.491269992203236,0.001,16,32,5000,uha,26
33792,32768,-32.05236137882993,0.001,16,32,5000,uha,26
34848,33792,-34.71298933741842,0.001,16,32,5000,uha,26
35904,34816,-34.728172189464544,0.001,16,32,5000,uha,26
36960,35840,-26.786257599658263,0.001,16,32,5000,uha,26
38016,36864,-34.061151898568994,0.001,16,32,5000,uha,26
39072,37888,-36.10088248320151,0.001,16,32,5000,uha,26
40128,38912,-36.67281798708612,0.001,16,32,5000,uha,26
41184,39936,-29.916725194459712,0.001,16,32,5000,uha,26
42240,40960,-26.448832684773166,0.001,16,32,5000,uha,26
43296,41984,-35.99029984585067,0.001,16,32,5000,uha,26
44352,43008,-32.21878859153876,0.001,16,32,5000,uha,26
45408,44032,-35.81725400922159,0.001,16,32,5000,uha,26
46464,45056,-35.393035090187894,0.001,16,32,5000,uha,26
47520,46080,-35.579405714057636,0.001,16,32,5000,uha,26
48576,47104,-32.43137837323087,0.001,16,32,5000,uha,26
49632,48128,-36.062782344819624,0.001,16,32,5000,uha,26
50688,49152,-32.5153968181073,0.001,16,32,5000,uha,26
51744,50176,-31.38323301361084,0.001,16,32,5000,uha,26
52800,51200,-35.176631469539714,0.001,16,32,5000,uha,26
53856,52224,-28.329349556213188,0.001,16,32,5000,uha,26
54912,53248,-33.82686758090276,0.001,16,32,5000,uha,26
55968,54272,-26.017712437151438,0.001,16,32,5000,uha,26
57024,55296,-31.658238754742147,0.001,16,32,5000,uha,26
58080,56320,-32.79651260647693,0.001,16,32,5000,uha,26
59136,57344,-33.80629255600773,0.001,16,32,5000,uha,26
60192,58368,-34.05632780394503,0.001,16,32,5000,uha,26
61248,59392,-32.13918560516393,0.001,16,32,5000,uha,26
62304,60416,-34.71221521306886,0.001,16,32,5000,uha,26
63360,61440,-30.5493863967685,0.001,16,32,5000,uha,26
64416,62464,-29.008799454832104,0.001,16,32,5000,uha,26
65472,63488,-33.43976706554858,0.001,16,32,5000,uha,26
66528,64512,-30.664831261421803,0.001,16,32,5000,uha,26
67584,65536,-30.763030564064064,0.001,16,32,5000,uha,26
68640,66560,-32.95616928872206,0.001,16,32,5000,uha,26
69696,67584,-32.32537470572528,0.001,16,32,5000,uha,26
70752,68608,-34.70985416467686,0.001,16,32,5000,uha,26
71808,69632,-30.41963209177374,0.001,16,32,5000,uha,26
72864,70656,-22.643398729187773,0.001,16,32,5000,uha,26
73920,71680,-35.080146457690745,0.001,16,32,5000,uha,26
74976,72704,-33.177300354800344,0.001,16,32,5000,uha,26
76032,73728,-35.742770481103314,0.001,16,32,5000,uha,26
77088,74752,-34.10147120774074,0.001,16,32,5000,uha,26
78144,75776,-32.80542659866495,0.001,16,32,5000,uha,26
79200,76800,-34.77147833535007,0.001,16,32,5000,uha,26
80256,77824,-28.609351570324108,0.001,16,32,5000,uha,26
81312,78848,-34.9245894186949,0.001,16,32,5000,uha,26
82368,79872,-34.98766248489352,0.001,16,32,5000,uha,26
83424,80896,-34.640089224001535,0.001,16,32,5000,uha,26
84480,81920,-32.48433414514197,0.001,16,32,5000,uha,26
85536,82944,-34.42557491168424,0.001,16,32,5000,uha,26
86592,83968,-33.367129536758355,0.001,16,32,5000,uha,26
87648,84992,-36.01026012461777,0.001,16,32,5000,uha,26
88704,86016,-33.54063358986183,0.001,16,32,5000,uha,26
89760,87040,-34.185178167446885,0.001,16,32,5000,uha,26
90816,88064,-33.615308984261496,0.001,16,32,5000,uha,26
91872,89088,-33.17492970179403,0.001,16,32,5000,uha,26
92928,90112,-35.77965004365046,0.001,16,32,5000,uha,26
93984,91136,-30.259281891003816,0.001,16,32,5000,uha,26
95040,92160,-34.67829107419738,0.001,16,32,5000,uha,26
96096,93184,-36.83756722534941,0.001,16,32,5000,uha,26
97152,94208,-33.50721116466583,0.001,16,32,5000,uha,26
98208,95232,-32.31307028175266,0.001,16,32,5000,uha,26
99264,96256,-33.03913084304191,0.001,16,32,5000,uha,26
100320,97280,-28.60648888825686,0.001,16,32,5000,uha,26
101376,98304,-33.46298638958427,0.001,16,32,5000,uha,26
102432,99328,-32.843949760093885,0.001,16,32,5000,uha,26
103488,100352,-33.34956961503517,0.001,16,32,5000,uha,26
104544,101376,-28.067910006712058,0.001,16,32,5000,uha,26
105600,102400,-35.220444740853914,0.001,16,32,5000,uha,26
106656,103424,-33.287543152457104,0.001,16,32,5000,uha,26
107712,104448,-29.174295117615387,0.001,16,32,5000,uha,26
108768,105472,-36.11391686330815,0.001,16,32,5000,uha,26
109824,106496,-30.722230623380916,0.001,16,32,5000,uha,26
110880,107520,-27.43189559776976,0.001,16,32,5000,uha,26
111936,108544,-34.48288379975258,0.001,16,32,5000,uha,26
112992,109568,-34.076909527257854,0.001,16,32,5000,uha,26
