n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
1056,1024,-0.3507809638977051,0.001,16,32,5000,uha,15
2112,2048,-0.8515505790710449,0.001,16,32,5000,uha,15
3168,3072,-0.7609400749206543,0.001,16,32,5000,uha,15
4224,4096,-0.794187068939209,0.001,16,32,5000,uha,15
5280,5120,-0.15983295440673828,0.001,16,32,5000,uha,15
6336,6144,-0.9663019180297852,0.001,16,32,5000,uha,15
7392,7168,-0.8398003578186035,0.001,16,32,5000,uha,15
8448,8192,-0.8541698455810547,0.001,16,32,5000,uha,15
9504,9216,-0.9249362945556641,0.001,16,32,5000,uha,15
10560,10240,0.1520075798034668,0.001,16,32,5000,uha,15
11616,11264,-1.0505104064941406,0.001,16,32,5000,uha,15
12672,12288,-0.9842414855957031,0.001,16,32,5000,uha,15
13728,13312,-1.0052108764648438,0.001,16,32,5000,uha,15
14784,14336,-0.802699089050293,0.001,16,32,5000,uha,15
15840,15360,-0.2928919792175293,0.001,16,32,5000,uha,15
16896,16384,-1.0620908737182617,0.001,16,32,5000,uha,15
17952,17408,-0.38497161865234375,0.001,16,32,5000,uha,15
19008,18432,-0.8240938186645508,0.001,16,32,5000,uha,15
20064,19456,-1.0813884735107422,0.001,16,32,5000,uha,15
21120,20480,-0.5395660400390625,0.001,16,32,5000,uha,15
22176,21504,-0.9163708686828613,0.001,16,32,5000,uha,15
23232,22528,-0.7966713905334473,0.001,16,32,5000,uha,15
24288,23552,-0.32467222213745117,0.001,16,32,5000,uha,15
25344,24576,-1.0295095443725586,0.001,16,32,5000,uha,15
26400,25600,-0.9657859802246094,0.001,16,32,5000,uha,15
27456,26624,-0.8353762626647949,0.001,16,32,5000,uha,15
28512,27648,-0.7789878845214844,0.001,16,32,5000,uha,15
29568,28672,-0.566709041595459,0.001,16,32,5000,uha,15
30624,29696,-0.521052360534668,0.001,16,32,5000,uha,15
31680,30720,-0.4492912292480469,0.001,16,32,5000,uha,15
32736,31744,-0.9284286499023438,0.001,16,32,5000,uha,15
33792,32768,-0.9218349456787109,0.001,16,32,5000,uha,15
34848,33792,-0.7593250274658203,0.001,16,32,5000,uha,15
35904,34816,-0.9786739349365234,0.001,16,32,5000,uha,15
36960,35840,-0.5870475769042969,0.001,16,32,5000,uha,15
38016,36864,-0.7815866470336914,0.001,16,32,5000,uha,15
39072,37888,-1.0101289749145508,0.001,16,32,5000,uha,15
40128,38912,0.37724828720092773,0.001,16,32,5000,uha,15
41184,39936,-0.8411049842834473,0.001,16,32,5000,uha,15
42240,40960,-0.9497694969177246,0.001,16,32,5000,uha,15
43296,41984,-0.8712315559387207,0.001,16,32,5000,uha,15
44352,43008,-1.0068626403808594,0.001,16,32,5000,uha,15
45408,44032,-0.7602629661560059,0.001,16,32,5000,uha,15
46464,45056,-0.7976555824279785,0.001,16,32,5000,uha,15
47520,46080,-0.5946197509765625,0.001,16,32,5000,uha,15
48576,47104,-0.9418554306030273,0.001,16,32,5000,uha,15
49632,48128,-0.8245019912719727,0.001,16,32,5000,uha,15
50688,49152,-0.6408901214599609,0.001,16,32,5000,uha,15
51744,50176,-0.5628957748413086,0.001,16,32,5000,uha,15
52800,51200,-1.102102279663086,0.001,16,32,5000,uha,15
53856,52224,-1.0859451293945312,0.001,16,32,5000,uha,15
54912,53248,-0.856867790222168,0.001,16,32,5000,uha,15
55968,54272,-0.8974466323852539,0.001,16,32,5000,uha,15
57024,55296,-0.844048023223877,0.001,16,32,5000,uha,15
58080,56320,1.0893869400024414,0.001,16,32,5000,uha,15
59136,57344,-1.0921134948730469,0.001,16,32,5000,uha,15
60192,58368,-0.31285524368286133,0.001,16,32,5000,uha,15
61248,59392,-0.8142814636230469,0.001,16,32,5000,uha,15
