n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,4064,-775.1812814100747,0.001,64,32,5000,ula,9
64,8128,-775.9570978282773,0.001,64,32,5000,ula,9
96,12192,-803.8628702063002,0.001,64,32,5000,ula,9
128,16256,-739.4647632943664,0.001,64,32,5000,ula,9
160,20320,-794.9675191038731,0.001,64,32,5000,ula,9
192,24384,-739.2846130156722,0.001,64,32,5000,ula,9
224,28448,-791.7338183198319,0.001,64,32,5000,ula,9
256,32512,-757.8533257876029,0.001,64,32,5000,ula,9
288,36576,-760.7647870552748,0.001,64,32,5000,ula,9
320,40640,-810.5013811441864,0.001,64,32,5000,ula,9
352,44704,-726.3558439715385,0.001,64,32,5000,ula,9
384,48768,-797.0344232149016,0.001,64,32,5000,ula,9
416,52832,-694.6406962313495,0.001,64,32,5000,ula,9
448,56896,-805.3045616969283,0.001,64,32,5000,ula,9
480,60960,-733.3118390812502,0.001,64,32,5000,ula,9
512,65024,-761.5170489242929,0.001,64,32,5000,ula,9
544,69088,-780.7937211935875,0.001,64,32,5000,ula,9
576,73152,-753.2611771641139,0.001,64,32,5000,ula,9
608,77216,-818.1089572131121,0.001,64,32,5000,ula,9
640,81280,-782.7623221043511,0.001,64,32,5000,ula,9
672,85344,-727.3003163694277,0.001,64,32,5000,ula,9
704,89408,-772.7776766053099,0.001,64,32,5000,ula,9
736,93472,-759.6095718005006,0.001,64,32,5000,ula,9
768,97536,-741.9485893040038,0.001,64,32,5000,ula,9
800,101600,-827.0772043069435,0.001,64,32,5000,ula,9
832,105664,-740.307628019608,0.001,64,32,5000,ula,9
864,109728,-796.7432782674124,0.001,64,32,5000,ula,9
896,113792,-757.3161676745351,0.001,64,32,5000,ula,9
928,117856,-783.9653822358046,0.001,64,32,5000,ula,9
960,121920,-773.9831201820223,0.001,64,32,5000,ula,9
992,125984,-762.4895167545303,0.001,64,32,5000,ula,9
1024,130048,-787.7589767852442,0.001,64,32,5000,ula,9
1056,134112,-782.4533083112364,0.001,64,32,5000,ula,9
1088,138176,-745.2264032269482,0.001,64,32,5000,ula,9
1120,142240,-796.3411391065933,0.001,64,32,5000,ula,9
1152,146304,-759.7211366029431,0.001,64,32,5000,ula,9
1184,150368,-778.352716540481,0.001,64,32,5000,ula,9
1216,154432,-756.6294780330581,0.001,64,32,5000,ula,9
1248,158496,-758.721510299718,0.001,64,32,5000,ula,9
1280,162560,-780.6331417177336,0.001,64,32,5000,ula,9
1312,166624,-815.3543498510342,0.001,64,32,5000,ula,9
1344,170688,-745.7771090500012,0.001,64,32,5000,ula,9
1376,174752,-733.7928934713115,0.001,64,32,5000,ula,9
1408,178816,-771.0266726139363,0.001,64,32,5000,ula,9
1440,182880,-669.9926674435775,0.001,64,32,5000,ula,9
1472,186944,-776.613379276449,0.001,64,32,5000,ula,9
1504,191008,-783.789057257811,0.001,64,32,5000,ula,9
1536,195072,-784.6433555153484,0.001,64,32,5000,ula,9
1568,199136,-687.4819059974473,0.001,64,32,5000,ula,9
1600,203200,-796.0627325839298,0.001,64,32,5000,ula,9
1632,207264,-760.7921316370943,0.001,64,32,5000,ula,9
1664,211328,-743.6896271425622,0.001,64,32,5000,ula,9
1696,215392,-771.4036706071633,0.001,64,32,5000,ula,9
1728,219456,-755.5408949925554,0.001,64,32,5000,ula,9
1760,223520,-782.686306477498,0.001,64,32,5000,ula,9
1792,227584,-694.2407324150081,0.001,64,32,5000,ula,9
1824,231648,-720.8474771037764,0.001,64,32,5000,ula,9
1856,235712,-713.5577099519923,0.001,64,32,5000,ula,9
1888,239776,-750.6524330014331,0.001,64,32,5000,ula,9
1920,243840,-759.3150570083945,0.001,64,32,5000,ula,9
1952,247904,-753.3465879429882,0.001,64,32,5000,ula,9
1984,251968,-702.5874143698154,0.001,64,32,5000,ula,9
2016,256032,-747.4917366340969,0.001,64,32,5000,ula,9
2048,260096,-786.1298843133542,0.001,64,32,5000,ula,9
2080,264160,-747.457073395879,0.001,64,32,5000,ula,9
2112,268224,-762.3740626833105,0.001,64,32,5000,ula,9
2144,272288,-734.4492914565077,0.001,64,32,5000,ula,9
2176,276352,-745.1761433387327,0.001,64,32,5000,ula,9
2208,280416,-734.9808870628843,0.001,64,32,5000,ula,9
2240,284480,-684.753371519145,0.001,64,32,5000,ula,9
2272,288544,-750.4681489681229,0.001,64,32,5000,ula,9
2304,292608,-652.4236353124478,0.001,64,32,5000,ula,9
2336,296672,-682.1233311577297,0.001,64,32,5000,ula,9
2368,300736,-751.3750804799283,0.001,64,32,5000,ula,9
2400,304800,-758.2967000559299,0.001,64,32,5000,ula,9
2432,308864,-725.7908499832334,0.001,64,32,5000,ula,9
2464,312928,-723.0790176387989,0.001,64,32,5000,ula,9
2496,316992,-742.084265229963,0.001,64,32,5000,ula,9
2528,321056,-756.3661697318743,0.001,64,32,5000,ula,9
2560,325120,-745.904416081804,0.001,64,32,5000,ula,9
2592,329184,-744.3930243109546,0.001,64,32,5000,ula,9
2624,333248,-755.5124763758661,0.001,64,32,5000,ula,9
2656,337312,-719.5574536897168,0.001,64,32,5000,ula,9
2688,341376,-730.6327855573965,0.001,64,32,5000,ula,9
2720,345440,-764.9614669403745,0.001,64,32,5000,ula,9
2752,349504,-729.2725404352569,0.001,64,32,5000,ula,9
2784,353568,-694.6157120098293,0.001,64,32,5000,ula,9
2816,357632,-732.235754378192,0.001,64,32,5000,ula,9
2848,361696,-766.065505786613,0.001,64,32,5000,ula,9
2880,365760,-751.8038805679221,0.001,64,32,5000,ula,9
2912,369824,-717.8826283111002,0.001,64,32,5000,ula,9
2944,373888,-762.1790827570737,0.001,64,32,5000,ula,9
2976,377952,-718.6022167635901,0.001,64,32,5000,ula,9
3008,382016,-693.5475083991848,0.001,64,32,5000,ula,9
3040,386080,-735.451905450598,0.001,64,32,5000,ula,9
3072,390144,-745.2190060402625,0.001,64,32,5000,ula,9
3104,394208,-703.4098215294977,0.001,64,32,5000,ula,9
3136,398272,-730.8523682739229,0.001,64,32,5000,ula,9
3168,402336,-732.1690995445364,0.001,64,32,5000,ula,9
3200,406400,-751.8822919908646,0.001,64,32,5000,ula,9
3232,410464,-727.1390133414251,0.001,64,32,5000,ula,9
3264,414528,-697.9018610037338,0.001,64,32,5000,ula,9
3296,418592,-697.4282791600792,0.001,64,32,5000,ula,9
3328,422656,-722.8961934915156,0.001,64,32,5000,ula,9
3360,426720,-740.402731286077,0.001,64,32,5000,ula,9
3392,430784,-759.6966119084151,0.001,64,32,5000,ula,9
3424,434848,-624.4873214426548,0.001,64,32,5000,ula,9
3456,438912,-765.4759811844092,0.001,64,32,5000,ula,9
3488,442976,-764.033236144974,0.001,64,32,5000,ula,9
3520,447040,-712.6482496800435,0.001,64,32,5000,ula,9
3552,451104,-654.7266728108319,0.001,64,32,5000,ula,9
3584,455168,-722.8016746384826,0.001,64,32,5000,ula,9
3616,459232,-690.9776345599674,0.001,64,32,5000,ula,9
3648,463296,-765.8439354187409,0.001,64,32,5000,ula,9
3680,467360,-746.1670411025473,0.001,64,32,5000,ula,9
3712,471424,-766.3889814733844,0.001,64,32,5000,ula,9
3744,475488,-723.7503343633679,0.001,64,32,5000,ula,9
3776,479552,-765.2622998555653,0.001,64,32,5000,ula,9
3808,483616,-673.1416132080218,0.001,64,32,5000,ula,9
