n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,4064,-775.0484728331003,0.001,64,32,5000,ula,25
64,8128,-852.5478738299356,0.001,64,32,5000,ula,25
96,12192,-781.4638528427043,0.001,64,32,5000,ula,25
128,16256,-834.472095904341,0.001,64,32,5000,ula,25
160,20320,-806.7280756335507,0.001,64,32,5000,ula,25
192,24384,-694.5832240728686,0.001,64,32,5000,ula,25
224,28448,-733.8273186464221,0.001,64,32,5000,ula,25
256,32512,-806.1982939388232,0.001,64,32,5000,ula,25
288,36576,-768.3339113206947,0.001,64,32,5000,ula,25
320,40640,-744.9526983903963,0.001,64,32,5000,ula,25
352,44704,-828.3988191596088,0.001,64,32,5000,ula,25
384,48768,-789.2332278717967,0.001,64,32,5000,ula,25
416,52832,-765.9149778991537,0.001,64,32,5000,ula,25
448,56896,-737.0416486822159,0.001,64,32,5000,ula,25
480,60960,-706.7330541499066,0.001,64,32,5000,ula,25
512,65024,-763.9494400670297,0.001,64,32,5000,ula,25
544,69088,-750.3585735203326,0.001,64,32,5000,ula,25
576,73152,-794.6805343666101,0.001,64,32,5000,ula,25
608,77216,-734.9734952865448,0.001,64,32,5000,ula,25
640,81280,-817.2808274270319,0.001,64,32,5000,ula,25
672,85344,-756.1263473383225,0.001,64,32,5000,ula,25
704,89408,-757.2607300927871,0.001,64,32,5000,ula,25
736,93472,-757.8802649096733,0.001,64,32,5000,ula,25
768,97536,-690.3023469492721,0.001,64,32,5000,ula,25
800,101600,-648.6083896798518,0.001,64,32,5000,ula,25
832,105664,-769.1827479100674,0.001,64,32,5000,ula,25
864,109728,-747.7401687315811,0.001,64,32,5000,ula,25
896,113792,-762.8428750885954,0.001,64,32,5000,ula,25
928,117856,-804.694651349959,0.001,64,32,5000,ula,25
960,121920,-753.6802128038798,0.001,64,32,5000,ula,25
992,125984,-792.8384112283986,0.001,64,32,5000,ula,25
1024,130048,-720.657440330983,0.001,64,32,5000,ula,25
1056,134112,-752.5725164537052,0.001,64,32,5000,ula,25
1088,138176,-732.4607522513354,0.001,64,32,5000,ula,25
1120,142240,-754.2182375505081,0.001,64,32,5000,ula,25
1152,146304,-673.0235518805376,0.001,64,32,5000,ula,25
1184,150368,-668.5238702802591,0.001,64,32,5000,ula,25
1216,154432,-727.4192725284595,0.001,64,32,5000,ula,25
1248,158496,-769.4372552372909,0.001,64,32,5000,ula,25
1280,162560,-745.3378879668342,0.001,64,32,5000,ula,25
1312,166624,-670.0715741355324,0.001,64,32,5000,ula,25
1344,170688,-688.9600402664804,0.001,64,32,5000,ula,25
1376,174752,-687.8252896145909,0.001,64,32,5000,ula,25
1408,178816,-679.6821532227268,0.001,64,32,5000,ula,25
1440,182880,-712.0327357377342,0.001,64,32,5000,ula,25
1472,186944,-679.8276524580527,0.001,64,32,5000,ula,25
1504,191008,-744.7935524247295,0.001,64,32,5000,ula,25
1536,195072,-711.8163618188227,0.001,64,32,5000,ula,25
1568,199136,-792.9776697905926,0.001,64,32,5000,ula,25
1600,203200,-737.1781769067378,0.001,64,32,5000,ula,25
1632,207264,-685.615638168516,0.001,64,32,5000,ula,25
1664,211328,-698.8122464528846,0.001,64,32,5000,ula,25
1696,215392,-720.6392673846401,0.001,64,32,5000,ula,25
1728,219456,-700.8966463714343,0.001,64,32,5000,ula,25
1760,223520,-733.3274660621472,0.001,64,32,5000,ula,25
1792,227584,-749.7159159029965,0.001,64,32,5000,ula,25
1824,231648,-695.0989059050303,0.001,64,32,5000,ula,25
1856,235712,-706.3265053731311,0.001,64,32,5000,ula,25
1888,239776,-733.5313847125472,0.001,64,32,5000,ula,25
1920,243840,-696.8902317894232,0.001,64,32,5000,ula,25
1952,247904,-702.6288975873838,0.001,64,32,5000,ula,25
1984,251968,-683.3448371591587,0.001,64,32,5000,ula,25
2016,256032,-702.9161875500785,0.001,64,32,5000,ula,25
2048,260096,-734.7815674355472,0.001,64,32,5000,ula,25
2080,264160,-592.6081425990066,0.001,64,32,5000,ula,25
2112,268224,-729.1868661558714,0.001,64,32,5000,ula,25
2144,272288,-683.8323879070624,0.001,64,32,5000,ula,25
2176,276352,-748.5752600366372,0.001,64,32,5000,ula,25
2208,280416,-674.9615686282244,0.001,64,32,5000,ula,25
2240,284480,-703.7542162332529,0.001,64,32,5000,ula,25
2272,288544,-702.7405854178755,0.001,64,32,5000,ula,25
2304,292608,-735.3733548725265,0.001,64,32,5000,ula,25
2336,296672,-719.6834270564315,0.001,64,32,5000,ula,25
2368,300736,-730.7976673327524,0.001,64,32,5000,ula,25
2400,304800,-644.375573114428,0.001,64,32,5000,ula,25
2432,308864,-705.1538331393426,0.001,64,32,5000,ula,25
2464,312928,-735.6117514277889,0.001,64,32,5000,ula,25
2496,316992,-680.6592145809194,0.001,64,32,5000,ula,25
2528,321056,-732.4071750408676,0.001,64,32,5000,ula,25
2560,325120,-750.8007155265533,0.001,64,32,5000,ula,25
2592,329184,-705.3270438329437,0.001,64,32,5000,ula,25
2624,333248,-645.4065382628502,0.001,64,32,5000,ula,25
2656,337312,-747.0996060645641,0.001,64,32,5000,ula,25
2688,341376,-692.2328969186023,0.001,64,32,5000,ula,25
2720,345440,-691.1057773958639,0.001,64,32,5000,ula,25
2752,349504,-743.3336044503088,0.001,64,32,5000,ula,25
2784,353568,-713.1945766996103,0.001,64,32,5000,ula,25
2816,357632,-709.5026824124195,0.001,64,32,5000,ula,25
2848,361696,-690.3631831695501,0.001,64,32,5000,ula,25
2880,365760,-732.7008093581354,0.001,64,32,5000,ula,25
2912,369824,-678.3451565504048,0.001,64,32,5000,ula,25
2944,373888,-700.3699189519804,0.001,64,32,5000,ula,25
2976,377952,-723.0957800278143,0.001,64,32,5000,ula,25
3008,382016,-691.2534527163626,0.001,64,32,5000,ula,25
3040,386080,-691.4635467202492,0.001,64,32,5000,ula,25
3072,390144,-694.4711754094212,0.001,64,32,5000,ula,25
3104,394208,-701.1276869742845,0.001,64,32,5000,ula,25
3136,398272,-758.3065456043884,0.001,64,32,5000,ula,25
3168,402336,-694.7695274182471,0.001,64,32,5000,ula,25
3200,406400,-726.2272190859545,0.001,64,32,5000,ula,25
3232,410464,-706.1650798346825,0.001,64,32,5000,ula,25
3264,414528,-688.4167580503973,0.001,64,32,5000,ula,25
3296,418592,-699.7216096910736,0.001,64,32,5000,ula,25
3328,422656,-659.2061656799953,0.001,64,32,5000,ula,25
3360,426720,-701.230273072858,0.001,64,32,5000,ula,25
3392,430784,-695.3782326773285,0.001,64,32,5000,ula,25
3424,434848,-713.9772590258651,0.001,64,32,5000,ula,25
3456,438912,-680.6350764531256,0.001,64,32,5000,ula,25
3488,442976,-710.0584625024916,0.001,64,32,5000,ula,25
3520,447040,-693.6116047545568,0.001,64,32,5000,ula,25
3552,451104,-658.8499254587011,0.001,64,32,5000,ula,25
3584,455168,-657.7695027999281,0.001,64,32,5000,ula,25
3616,459232,-664.020677637851,0.001,64,32,5000,ula,25
3648,463296,-685.8817030520889,0.001,64,32,5000,ula,25
