n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,992,-7.633482605497611,0.001,16,32,5000,ula,11
64,1984,-5.486376487687609,0.001,16,32,5000,ula,11
96,2976,-6.664121624328681,0.001,16,32,5000,ula,11
128,3968,-7.742092109160841,0.001,16,32,5000,ula,11
160,4960,-7.026935020856821,0.001,16,32,5000,ula,11
192,5952,-7.768537069571954,0.001,16,32,5000,ula,11
224,6944,-7.661150096760131,0.001,16,32,5000,ula,11
256,7936,-8.313744898580817,0.001,16,32,5000,ula,11
288,8928,-7.233891014232427,0.001,16,32,5000,ula,11
320,9920,-5.562043179116006,0.001,16,32,5000,ula,11
352,10912,-7.1700539270669434,0.001,16,32,5000,ula,11
384,11904,-6.2964542443528515,0.001,16,32,5000,ula,11
416,12896,-6.505482512471675,0.001,16,32,5000,ula,11
448,13888,-8.098871685991192,0.001,16,32,5000,ula,11
480,14880,-3.2222424439518123,0.001,16,32,5000,ula,11
512,15872,-7.289503846384095,0.001,16,32,5000,ula,11
544,16864,-6.935950540725923,0.001,16,32,5000,ula,11
576,17856,-7.751913573362963,0.001,16,32,5000,ula,11
608,18848,-6.42094528399176,0.001,16,32,5000,ula,11
640,19840,-7.415966228293774,0.001,16,32,5000,ula,11
672,20832,-4.135409663749529,0.001,16,32,5000,ula,11
704,21824,-6.298423299149029,0.001,16,32,5000,ula,11
736,22816,-5.737728683035886,0.001,16,32,5000,ula,11
768,23808,-5.037647583788631,0.001,16,32,5000,ula,11
800,24800,-8.0949221192898,0.001,16,32,5000,ula,11
832,25792,-7.618498900212876,0.001,16,32,5000,ula,11
864,26784,-8.333770928057419,0.001,16,32,5000,ula,11
896,27776,-7.3055856752778885,0.001,16,32,5000,ula,11
928,28768,-7.1112670784624825,0.001,16,32,5000,ula,11
960,29760,-7.945544474086555,0.001,16,32,5000,ula,11
992,30752,-6.388140350242595,0.001,16,32,5000,ula,11
1024,31744,-7.505090449064786,0.001,16,32,5000,ula,11
1056,32736,-7.868244468042023,0.001,16,32,5000,ula,11
1088,33728,-7.752660728901172,0.001,16,32,5000,ula,11
1120,34720,-7.7006420510302505,0.001,16,32,5000,ula,11
1152,35712,-6.67613155262974,0.001,16,32,5000,ula,11
1184,36704,-7.808718987551559,0.001,16,32,5000,ula,11
1216,37696,-7.274969441998773,0.001,16,32,5000,ula,11
1248,38688,-7.499102082564067,0.001,16,32,5000,ula,11
1280,39680,-7.577603861066617,0.001,16,32,5000,ula,11
1312,40672,-7.645408373885908,0.001,16,32,5000,ula,11
1344,41664,-5.029886600309901,0.001,16,32,5000,ula,11
1376,42656,-6.241395861280605,0.001,16,32,5000,ula,11
1408,43648,-6.766335463728945,0.001,16,32,5000,ula,11
1440,44640,-6.0557803394898935,0.001,16,32,5000,ula,11
1472,45632,-5.935214712667849,0.001,16,32,5000,ula,11
1504,46624,-6.077803315236448,0.001,16,32,5000,ula,11
1536,47616,-3.488037333252324,0.001,16,32,5000,ula,11
1568,48608,-7.023450363108921,0.001,16,32,5000,ula,11
1600,49600,-5.414879440116167,0.001,16,32,5000,ula,11
1632,50592,-7.036228020605857,0.001,16,32,5000,ula,11
1664,51584,-5.171521721901724,0.001,16,32,5000,ula,11
1696,52576,-7.199859555779066,0.001,16,32,5000,ula,11
1728,53568,-4.9471653734916545,0.001,16,32,5000,ula,11
1760,54560,-6.54245265227811,0.001,16,32,5000,ula,11
1792,55552,-7.930950857217285,0.001,16,32,5000,ula,11
1824,56544,-6.946804844120738,0.001,16,32,5000,ula,11
1856,57536,-5.622878193797147,0.001,16,32,5000,ula,11
1888,58528,-5.901256808005822,0.001,16,32,5000,ula,11
1920,59520,-7.177590086000117,0.001,16,32,5000,ula,11
1952,60512,-6.142010506260804,0.001,16,32,5000,ula,11
1984,61504,-8.582129961936364,0.001,16,32,5000,ula,11
2016,62496,-1.3477555502665748,0.001,16,32,5000,ula,11
2048,63488,-5.919224567380795,0.001,16,32,5000,ula,11
2080,64480,-6.697675125414,0.001,16,32,5000,ula,11
2112,65472,-7.078239901214578,0.001,16,32,5000,ula,11
2144,66464,-5.362402189213038,0.001,16,32,5000,ula,11
2176,67456,-6.0359477413005,0.001,16,32,5000,ula,11
2208,68448,-7.834513618799593,0.001,16,32,5000,ula,11
2240,69440,-6.686023431366319,0.001,16,32,5000,ula,11
2272,70432,-6.702404859286972,0.001,16,32,5000,ula,11
2304,71424,-6.716130480400926,0.001,16,32,5000,ula,11
2336,72416,-7.254884418804696,0.001,16,32,5000,ula,11
2368,73408,-3.708265878318372,0.001,16,32,5000,ula,11
2400,74400,-6.404888680167701,0.001,16,32,5000,ula,11
2432,75392,-7.016871139653729,0.001,16,32,5000,ula,11
2464,76384,-7.826899999894981,0.001,16,32,5000,ula,11
2496,77376,-6.652045152118702,0.001,16,32,5000,ula,11
2528,78368,-7.527676182721877,0.001,16,32,5000,ula,11
2560,79360,-6.3830723147204225,0.001,16,32,5000,ula,11
2592,80352,-7.111036461906987,0.001,16,32,5000,ula,11
2624,81344,-5.125754841182174,0.001,16,32,5000,ula,11
2656,82336,-8.024282789669954,0.001,16,32,5000,ula,11
2688,83328,-5.510226245848943,0.001,16,32,5000,ula,11
2720,84320,-7.619740360115854,0.001,16,32,5000,ula,11
2752,85312,-6.852557503477475,0.001,16,32,5000,ula,11
2784,86304,-7.63787494783277,0.001,16,32,5000,ula,11
2816,87296,-7.2422899728204815,0.001,16,32,5000,ula,11
2848,88288,-7.41924747596293,0.001,16,32,5000,ula,11
2880,89280,-7.356680122076166,0.001,16,32,5000,ula,11
2912,90272,-7.911927665389097,0.001,16,32,5000,ula,11
2944,91264,-5.935507521035124,0.001,16,32,5000,ula,11
2976,92256,-5.422665165661245,0.001,16,32,5000,ula,11
3008,93248,-6.44172754912451,0.001,16,32,5000,ula,11
3040,94240,-7.358933363020861,0.001,16,32,5000,ula,11
3072,95232,-7.09271362282111,0.001,16,32,5000,ula,11
3104,96224,-7.708336152452408,0.001,16,32,5000,ula,11
3136,97216,-7.851858676749907,0.001,16,32,5000,ula,11
3168,98208,-6.6179317940179105,0.001,16,32,5000,ula,11
3200,99200,-3.796401985891868,0.001,16,32,5000,ula,11
3232,100192,-6.695656241126737,0.001,16,32,5000,ula,11
3264,101184,-8.217801093054387,0.001,16,32,5000,ula,11
3296,102176,-6.538702565216808,0.001,16,32,5000,ula,11
3328,103168,-4.862539155011579,0.001,16,32,5000,ula,11
3360,104160,-7.658719479652095,0.001,16,32,5000,ula,11
3392,105152,-3.179596047267572,0.001,16,32,5000,ula,11
3424,106144,-7.626834599623862,0.001,16,32,5000,ula,11
3456,107136,-6.65272433796917,0.001,16,32,5000,ula,11
3488,108128,-4.247586738377535,0.001,16,32,5000,ula,11
3520,109120,-7.280667519437994,0.001,16,32,5000,ula,11
3552,110112,-3.61939696104419,0.001,16,32,5000,ula,11
3584,111104,-7.986656476321219,0.001,16,32,5000,ula,11
3616,112096,-7.195430220849813,0.001,16,32,5000,ula,11
3648,113088,-7.462538328492375,0.001,16,32,5000,ula,11
3680,114080,-7.044805197340879,0.001,16,32,5000,ula,11
3712,115072,-7.23623538531224,0.001,16,32,5000,ula,11
3744,116064,-7.3494218023258515,0.001,16,32,5000,ula,11
3776,117056,-6.8973627489829745,0.001,16,32,5000,ula,11
3808,118048,-7.180367938189491,0.001,16,32,5000,ula,11
3840,119040,-7.287536486192699,0.001,16,32,5000,ula,11
3872,120032,-6.787853618352202,0.001,16,32,5000,ula,11
3904,121024,-4.856211942499819,0.001,16,32,5000,ula,11
3936,122016,-6.159643931850836,0.001,16,32,5000,ula,11
3968,123008,-5.251479972355645,0.001,16,32,5000,ula,11
4000,124000,2.440392502489485,0.001,16,32,5000,ula,11
4032,124992,-6.475348793577754,0.001,16,32,5000,ula,11
4064,125984,-6.46900787413785,0.001,16,32,5000,ula,11
4096,126976,-6.975478521873308,0.001,16,32,5000,ula,11
4128,127968,-4.4226348555953585,0.001,16,32,5000,ula,11
4160,128960,-4.0608513806560875,0.001,16,32,5000,ula,11
4192,129952,-6.215468178316561,0.001,16,32,5000,ula,11
4224,130944,-6.839755437530022,0.001,16,32,5000,ula,11
