n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
2080,2048,-152.1799243453644,0.0001,32,32,5000,uha,24
4160,4096,-141.32742819779688,0.0001,32,32,5000,uha,24
6240,6144,-141.92127765160072,0.0001,32,32,5000,uha,24
8320,8192,-142.01357598407728,0.0001,32,32,5000,uha,24
10400,10240,-141.42611010928007,0.0001,32,32,5000,uha,24
12480,12288,-141.9267522181382,0.0001,32,32,5000,uha,24
14560,14336,-161.86626978128103,0.0001,32,32,5000,uha,24
16640,16384,-141.4218546317351,0.0001,32,32,5000,uha,24
18720,18432,-138.81204913302275,0.0001,32,32,5000,uha,24
20800,20480,-158.43144480449465,0.0001,32,32,5000,uha,24
22880,22528,-158.73691760860112,0.0001,32,32,5000,uha,24
24960,24576,-154.64594804648186,0.0001,32,32,5000,uha,24
27040,26624,-145.39204010957263,0.0001,32,32,5000,uha,24
29120,28672,-151.34783251418932,0.0001,32,32,5000,uha,24
31200,30720,-155.40644778583666,0.0001,32,32,5000,uha,24
33280,32768,-156.08572720961237,0.0001,32,32,5000,uha,24
35360,34816,-153.39440342491224,0.0001,32,32,5000,uha,24
37440,36864,-157.9863382830379,0.0001,32,32,5000,uha,24
39520,38912,-150.71828114129212,0.0001,32,32,5000,uha,24
41600,40960,-151.2506320093545,0.0001,32,32,5000,uha,24
43680,43008,-150.6199259875857,0.0001,32,32,5000,uha,24
45760,45056,-155.07211249938155,0.0001,32,32,5000,uha,24
47840,47104,-154.1292092798951,0.0001,32,32,5000,uha,24
49920,49152,-136.74737347130963,0.0001,32,32,5000,uha,24
52000,51200,-158.47702950712036,0.0001,32,32,5000,uha,24
54080,53248,-150.46542158430762,0.0001,32,32,5000,uha,24
56160,55296,-161.1540669039089,0.0001,32,32,5000,uha,24
58240,57344,-144.83020819726823,0.0001,32,32,5000,uha,24
60320,59392,-142.6021471047833,0.0001,32,32,5000,uha,24
62400,61440,-151.1780268353727,0.0001,32,32,5000,uha,24
64480,63488,-156.2451858217028,0.0001,32,32,5000,uha,24
66560,65536,-153.21160576740414,0.0001,32,32,5000,uha,24
68640,67584,-148.78366911060482,0.0001,32,32,5000,uha,24
70720,69632,-153.07316938116386,0.0001,32,32,5000,uha,24
72800,71680,-149.73811162852317,0.0001,32,32,5000,uha,24
