n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
4128,4096,-136.83538818359375,0.001,64,32,5000,uha,22
8256,8192,-138.29270935058594,0.001,64,32,5000,uha,22
12384,12288,-128.7156219482422,0.001,64,32,5000,uha,22
16512,16384,-140.8076934814453,0.001,64,32,5000,uha,22
20640,20480,-141.110595703125,0.001,64,32,5000,uha,22
24768,24576,-131.61148071289062,0.001,64,32,5000,uha,22
28896,28672,-138.9705352783203,0.001,64,32,5000,uha,22
33024,32768,-131.51834106445312,0.001,64,32,5000,uha,22
37152,36864,-128.70416259765625,0.001,64,32,5000,uha,22
41280,40960,-139.60720825195312,0.001,64,32,5000,uha,22
45408,45056,-136.2285614013672,0.001,64,32,5000,uha,22
49536,49152,-143.28021240234375,0.001,64,32,5000,uha,22
53664,53248,-144.89212036132812,0.001,64,32,5000,uha,22
57792,57344,-143.8191375732422,0.001,64,32,5000,uha,22
61920,61440,-129.0615997314453,0.001,64,32,5000,uha,22
66048,65536,-135.14186096191406,0.001,64,32,5000,uha,22
70176,69632,-132.6598663330078,0.001,64,32,5000,uha,22
74304,73728,-135.8973846435547,0.001,64,32,5000,uha,22
78432,77824,-136.03240966796875,0.001,64,32,5000,uha,22
82560,81920,-143.08712768554688,0.001,64,32,5000,uha,22
86688,86016,-137.08547973632812,0.001,64,32,5000,uha,22
90816,90112,-127.42215728759766,0.001,64,32,5000,uha,22
94944,94208,-139.23292541503906,0.001,64,32,5000,uha,22
99072,98304,-136.3516082763672,0.001,64,32,5000,uha,22
103200,102400,-124.68695831298828,0.001,64,32,5000,uha,22
107328,106496,-135.15211486816406,0.001,64,32,5000,uha,22
111456,110592,-132.875,0.001,64,32,5000,uha,22
115584,114688,-131.83033752441406,0.001,64,32,5000,uha,22
119712,118784,-138.99618530273438,0.001,64,32,5000,uha,22
123840,122880,-141.48812866210938,0.001,64,32,5000,uha,22
127968,126976,-131.0865478515625,0.001,64,32,5000,uha,22
132096,131072,-132.01243591308594,0.001,64,32,5000,uha,22
136224,135168,-136.80947875976562,0.001,64,32,5000,uha,22
140352,139264,-125.21736145019531,0.001,64,32,5000,uha,22
144480,143360,-140.64495849609375,0.001,64,32,5000,uha,22
148608,147456,-127.99046325683594,0.001,64,32,5000,uha,22
152736,151552,-135.9698944091797,0.001,64,32,5000,uha,22
156864,155648,-134.30377197265625,0.001,64,32,5000,uha,22
160992,159744,-140.86854553222656,0.001,64,32,5000,uha,22
165120,163840,-132.5902099609375,0.001,64,32,5000,uha,22
169248,167936,-138.03273010253906,0.001,64,32,5000,uha,22
173376,172032,-127.36885833740234,0.001,64,32,5000,uha,22
177504,176128,-122.96903228759766,0.001,64,32,5000,uha,22
181632,180224,-130.0034637451172,0.001,64,32,5000,uha,22
185760,184320,-134.2653045654297,0.001,64,32,5000,uha,22
189888,188416,-135.0584259033203,0.001,64,32,5000,uha,22
194016,192512,-131.2302703857422,0.001,64,32,5000,uha,22
198144,196608,-130.09902954101562,0.001,64,32,5000,uha,22
202272,200704,-138.2008056640625,0.001,64,32,5000,uha,22
206400,204800,-130.7622833251953,0.001,64,32,5000,uha,22
210528,208896,-135.3231964111328,0.001,64,32,5000,uha,22
214656,212992,-134.27334594726562,0.001,64,32,5000,uha,22
218784,217088,-130.40008544921875,0.001,64,32,5000,uha,22
222912,221184,-139.86334228515625,0.001,64,32,5000,uha,22
227040,225280,-130.98294067382812,0.001,64,32,5000,uha,22
231168,229376,-141.5107421875,0.001,64,32,5000,uha,22
235296,233472,-134.13265991210938,0.001,64,32,5000,uha,22
239424,237568,-136.34744262695312,0.001,64,32,5000,uha,22
243552,241664,-130.44091796875,0.001,64,32,5000,uha,22
247680,245760,-135.04200744628906,0.001,64,32,5000,uha,22
251808,249856,-137.9136505126953,0.001,64,32,5000,uha,22
255936,253952,-133.89698791503906,0.001,64,32,5000,uha,22
260064,258048,-125.5962905883789,0.001,64,32,5000,uha,22
264192,262144,-136.56951904296875,0.001,64,32,5000,uha,22
268320,266240,-130.00340270996094,0.001,64,32,5000,uha,22
272448,270336,-134.99545288085938,0.001,64,32,5000,uha,22
276576,274432,-134.34432983398438,0.001,64,32,5000,uha,22
280704,278528,-132.90573120117188,0.001,64,32,5000,uha,22
284832,282624,-121.88488006591797,0.001,64,32,5000,uha,22
288960,286720,-131.62171936035156,0.001,64,32,5000,uha,22
293088,290816,-139.3129425048828,0.001,64,32,5000,uha,22
297216,294912,-132.8577423095703,0.001,64,32,5000,uha,22
301344,299008,-135.48092651367188,0.001,64,32,5000,uha,22
305472,303104,-140.28994750976562,0.001,64,32,5000,uha,22
309600,307200,-135.66360473632812,0.001,64,32,5000,uha,22
313728,311296,-133.63607788085938,0.001,64,32,5000,uha,22
317856,315392,-132.12342834472656,0.001,64,32,5000,uha,22
321984,319488,-132.233154296875,0.001,64,32,5000,uha,22
326112,323584,-131.79750061035156,0.001,64,32,5000,uha,22
330240,327680,-136.12432861328125,0.001,64,32,5000,uha,22
334368,331776,-129.4401397705078,0.001,64,32,5000,uha,22
338496,335872,-138.00416564941406,0.001,64,32,5000,uha,22
342624,339968,-132.67562866210938,0.001,64,32,5000,uha,22
346752,344064,-128.87550354003906,0.001,64,32,5000,uha,22
350880,348160,-128.59487915039062,0.001,64,32,5000,uha,22
355008,352256,-136.7649383544922,0.001,64,32,5000,uha,22
359136,356352,-125.2273178100586,0.001,64,32,5000,uha,22
363264,360448,-130.24789428710938,0.001,64,32,5000,uha,22
367392,364544,-127.0910415649414,0.001,64,32,5000,uha,22
371520,368640,-131.39454650878906,0.001,64,32,5000,uha,22
375648,372736,-131.99685668945312,0.001,64,32,5000,uha,22
379776,376832,-127.46327209472656,0.001,64,32,5000,uha,22
383904,380928,-125.44100952148438,0.001,64,32,5000,uha,22
388032,385024,-125.80596160888672,0.001,64,32,5000,uha,22
392160,389120,-131.14389038085938,0.001,64,32,5000,uha,22
396288,393216,-135.37838745117188,0.001,64,32,5000,uha,22
400416,397312,-130.63853454589844,0.001,64,32,5000,uha,22
404544,401408,-138.09703063964844,0.001,64,32,5000,uha,22
408672,405504,-132.8491973876953,0.001,64,32,5000,uha,22
412800,409600,-123.56144714355469,0.001,64,32,5000,uha,22
416928,413696,-130.5281219482422,0.001,64,32,5000,uha,22
421056,417792,-126.12460327148438,0.001,64,32,5000,uha,22
425184,421888,-124.15055847167969,0.001,64,32,5000,uha,22
429312,425984,-129.1238555908203,0.001,64,32,5000,uha,22
433440,430080,-134.50225830078125,0.001,64,32,5000,uha,22
437568,434176,-132.87255859375,0.001,64,32,5000,uha,22
