n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
1056,1024,-163.02258639496907,0.001,16,32,5000,uha,29
2112,2048,-167.41068358382333,0.001,16,32,5000,uha,29
3168,3072,-168.4351123298347,0.001,16,32,5000,uha,29
4224,4096,-158.31776696803914,0.001,16,32,5000,uha,29
5280,5120,-169.1924732097306,0.001,16,32,5000,uha,29
6336,6144,-162.0206019833146,0.001,16,32,5000,uha,29
7392,7168,-166.6991453003807,0.001,16,32,5000,uha,29
8448,8192,-164.97068248211474,0.001,16,32,5000,uha,29
9504,9216,-174.6409939134563,0.001,16,32,5000,uha,29
10560,10240,-155.90537167287658,0.001,16,32,5000,uha,29
11616,11264,-178.29780671101562,0.001,16,32,5000,uha,29
12672,12288,-162.57197063756544,0.001,16,32,5000,uha,29
13728,13312,-154.95839926918396,0.001,16,32,5000,uha,29
14784,14336,-166.4618013138959,0.001,16,32,5000,uha,29
15840,15360,-173.3986133253724,0.001,16,32,5000,uha,29
16896,16384,-160.62289323453737,0.001,16,32,5000,uha,29
17952,17408,-173.60605689703223,0.001,16,32,5000,uha,29
19008,18432,-170.11695786067594,0.001,16,32,5000,uha,29
20064,19456,-167.84979913586955,0.001,16,32,5000,uha,29
21120,20480,-164.54489973339258,0.001,16,32,5000,uha,29
22176,21504,-156.36571414680049,0.001,16,32,5000,uha,29
23232,22528,-163.56024486093753,0.001,16,32,5000,uha,29
24288,23552,-169.45071491011115,0.001,16,32,5000,uha,29
25344,24576,-180.8873055631239,0.001,16,32,5000,uha,29
26400,25600,-167.17288014550417,0.001,16,32,5000,uha,29
27456,26624,-175.5284445194562,0.001,16,32,5000,uha,29
28512,27648,-165.68362633722944,0.001,16,32,5000,uha,29
29568,28672,-174.6924541796708,0.001,16,32,5000,uha,29
30624,29696,-175.08635716035383,0.001,16,32,5000,uha,29
31680,30720,-163.6360097163452,0.001,16,32,5000,uha,29
32736,31744,-154.9250179233137,0.001,16,32,5000,uha,29
33792,32768,-171.2576665115022,0.001,16,32,5000,uha,29
34848,33792,-167.75614011050197,0.001,16,32,5000,uha,29
35904,34816,-174.48915429241364,0.001,16,32,5000,uha,29
36960,35840,-161.9142411902844,0.001,16,32,5000,uha,29
38016,36864,-161.4004658422021,0.001,16,32,5000,uha,29
39072,37888,-172.74856783773234,0.001,16,32,5000,uha,29
40128,38912,-159.99150814832063,0.001,16,32,5000,uha,29
41184,39936,-174.74949522818287,0.001,16,32,5000,uha,29
42240,40960,-162.59672634216733,0.001,16,32,5000,uha,29
43296,41984,-150.614716657781,0.001,16,32,5000,uha,29
44352,43008,-159.26812082968507,0.001,16,32,5000,uha,29
45408,44032,-156.74759486853748,0.001,16,32,5000,uha,29
46464,45056,-170.36038773528577,0.001,16,32,5000,uha,29
47520,46080,-157.20048658842788,0.001,16,32,5000,uha,29
48576,47104,-168.5551174483468,0.001,16,32,5000,uha,29
49632,48128,-169.26762605362282,0.001,16,32,5000,uha,29
50688,49152,-160.92077043417493,0.001,16,32,5000,uha,29
51744,50176,-162.623429844288,0.001,16,32,5000,uha,29
52800,51200,-162.90939414177024,0.001,16,32,5000,uha,29
53856,52224,-155.3239002531144,0.001,16,32,5000,uha,29
54912,53248,-159.0220761735246,0.001,16,32,5000,uha,29
55968,54272,-167.84829283478365,0.001,16,32,5000,uha,29
57024,55296,-171.8001031341732,0.001,16,32,5000,uha,29
58080,56320,-173.39647633195466,0.001,16,32,5000,uha,29
59136,57344,-163.72252370643923,0.001,16,32,5000,uha,29
60192,58368,-165.7392133323049,0.001,16,32,5000,uha,29
61248,59392,-172.5470681993955,0.001,16,32,5000,uha,29
62304,60416,-161.47599170274958,0.001,16,32,5000,uha,29
63360,61440,-162.63961578723428,0.001,16,32,5000,uha,29
64416,62464,-153.1880001181865,0.001,16,32,5000,uha,29
65472,63488,-172.38880444875767,0.001,16,32,5000,uha,29
66528,64512,-150.6695154876138,0.001,16,32,5000,uha,29
67584,65536,-153.6595948123293,0.001,16,32,5000,uha,29
68640,66560,-169.01839755380112,0.001,16,32,5000,uha,29
69696,67584,-158.37284581464428,0.001,16,32,5000,uha,29
70752,68608,-165.56750820265611,0.001,16,32,5000,uha,29
71808,69632,-166.88105551838515,0.001,16,32,5000,uha,29
72864,70656,-169.02771194920658,0.001,16,32,5000,uha,29
73920,71680,-168.68506977551007,0.001,16,32,5000,uha,29
