n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
2080,2048,-155.28755098267646,0.0001,32,32,5000,uha,21
4160,4096,-155.685428437298,0.0001,32,32,5000,uha,21
6240,6144,-164.8455140873701,0.0001,32,32,5000,uha,21
8320,8192,-156.90309306642612,0.0001,32,32,5000,uha,21
10400,10240,-156.79367547319725,0.0001,32,32,5000,uha,21
12480,12288,-147.66946460976058,0.0001,32,32,5000,uha,21
14560,14336,-152.12282694869535,0.0001,32,32,5000,uha,21
16640,16384,-147.65371184292448,0.0001,32,32,5000,uha,21
18720,18432,-153.53356075369095,0.0001,32,32,5000,uha,21
20800,20480,-155.71162284281237,0.0001,32,32,5000,uha,21
22880,22528,-153.90226179507945,0.0001,32,32,5000,uha,21
24960,24576,-144.12096662337638,0.0001,32,32,5000,uha,21
27040,26624,-163.31316692652567,0.0001,32,32,5000,uha,21
29120,28672,-152.69758644783687,0.0001,32,32,5000,uha,21
31200,30720,-153.2904452000179,0.0001,32,32,5000,uha,21
33280,32768,-143.50867404248828,0.0001,32,32,5000,uha,21
35360,34816,-145.09130243920507,0.0001,32,32,5000,uha,21
37440,36864,-159.62091145713734,0.0001,32,32,5000,uha,21
39520,38912,-151.03190772698184,0.0001,32,32,5000,uha,21
41600,40960,-144.39692742314062,0.0001,32,32,5000,uha,21
43680,43008,-153.5266880406873,0.0001,32,32,5000,uha,21
45760,45056,-143.25385811361372,0.0001,32,32,5000,uha,21
47840,47104,-154.19459313037058,0.0001,32,32,5000,uha,21
49920,49152,-150.155419360221,0.0001,32,32,5000,uha,21
52000,51200,-157.63401177800165,0.0001,32,32,5000,uha,21
54080,53248,-138.0100563611467,0.0001,32,32,5000,uha,21
56160,55296,-152.15274235108075,0.0001,32,32,5000,uha,21
58240,57344,-148.31087147950785,0.0001,32,32,5000,uha,21
60320,59392,-143.27616994150804,0.0001,32,32,5000,uha,21
62400,61440,-149.5396726176128,0.0001,32,32,5000,uha,21
64480,63488,-152.28111175385303,0.0001,32,32,5000,uha,21
66560,65536,-151.1610711982831,0.0001,32,32,5000,uha,21
68640,67584,-150.953445349899,0.0001,32,32,5000,uha,21
70720,69632,-150.35762274518615,0.0001,32,32,5000,uha,21
72800,71680,-152.0162102494694,0.0001,32,32,5000,uha,21
74880,73728,-138.96981997342223,0.0001,32,32,5000,uha,21
76960,75776,-141.67178788410055,0.0001,32,32,5000,uha,21
79040,77824,-143.46471084026248,0.0001,32,32,5000,uha,21
81120,79872,-157.69162136703844,0.0001,32,32,5000,uha,21
83200,81920,-131.71107543462568,0.0001,32,32,5000,uha,21
85280,83968,-146.4225118553108,0.0001,32,32,5000,uha,21
87360,86016,-158.94980329453384,0.0001,32,32,5000,uha,21
89440,88064,-145.48639265608222,0.0001,32,32,5000,uha,21
91520,90112,-150.2930863618572,0.0001,32,32,5000,uha,21
93600,92160,-155.566112575224,0.0001,32,32,5000,uha,21
95680,94208,-161.0830806852809,0.0001,32,32,5000,uha,21
97760,96256,-151.91866144456932,0.0001,32,32,5000,uha,21
99840,98304,-145.84082705083387,0.0001,32,32,5000,uha,21
101920,100352,-158.41072308963507,0.0001,32,32,5000,uha,21
104000,102400,-147.28434925691846,0.0001,32,32,5000,uha,21
106080,104448,-148.8151405283885,0.0001,32,32,5000,uha,21
108160,106496,-143.92887506138314,0.0001,32,32,5000,uha,21
110240,108544,-161.75480736409918,0.0001,32,32,5000,uha,21
112320,110592,-139.82035414110942,0.0001,32,32,5000,uha,21
114400,112640,-159.42275321390932,0.0001,32,32,5000,uha,21
116480,114688,-150.3695790014921,0.0001,32,32,5000,uha,21
118560,116736,-158.35040091552025,0.0001,32,32,5000,uha,21
120640,118784,-162.79048736011472,0.0001,32,32,5000,uha,21
122720,120832,-156.99601921180448,0.0001,32,32,5000,uha,21
124800,122880,-142.82905257207182,0.0001,32,32,5000,uha,21
126880,124928,-154.1758785512947,0.0001,32,32,5000,uha,21
128960,126976,-152.10320959981533,0.0001,32,32,5000,uha,21
131040,129024,-155.74765620182524,0.0001,32,32,5000,uha,21
133120,131072,-145.3601182816185,0.0001,32,32,5000,uha,21
135200,133120,-156.82439772282132,0.0001,32,32,5000,uha,21
137280,135168,-157.49693447963082,0.0001,32,32,5000,uha,21
139360,137216,-158.37365271616648,0.0001,32,32,5000,uha,21
141440,139264,-141.45430555293802,0.0001,32,32,5000,uha,21
143520,141312,-148.47413664556464,0.0001,32,32,5000,uha,21
145600,143360,-153.7981497714484,0.0001,32,32,5000,uha,21
147680,145408,-143.98691877590815,0.0001,32,32,5000,uha,21
149760,147456,-152.68186569660924,0.0001,32,32,5000,uha,21
151840,149504,-152.34569036940948,0.0001,32,32,5000,uha,21
153920,151552,-141.44216302288913,0.0001,32,32,5000,uha,21
156000,153600,-145.10352371327727,0.0001,32,32,5000,uha,21
158080,155648,-150.67098978807897,0.0001,32,32,5000,uha,21
160160,157696,-155.72640360352,0.0001,32,32,5000,uha,21
162240,159744,-153.4104397201987,0.0001,32,32,5000,uha,21
164320,161792,-159.24006202040826,0.0001,32,32,5000,uha,21
166400,163840,-165.45784499301075,0.0001,32,32,5000,uha,21
168480,165888,-136.4332104506467,0.0001,32,32,5000,uha,21
170560,167936,-143.39251743716218,0.0001,32,32,5000,uha,21
172640,169984,-152.02930409572798,0.0001,32,32,5000,uha,21
174720,172032,-146.93020595094973,0.0001,32,32,5000,uha,21
176800,174080,-150.61562729593544,0.0001,32,32,5000,uha,21
178880,176128,-150.42207634163228,0.0001,32,32,5000,uha,21
180960,178176,-150.77131246323492,0.0001,32,32,5000,uha,21
183040,180224,-142.5221491509784,0.0001,32,32,5000,uha,21
185120,182272,-156.90339190856065,0.0001,32,32,5000,uha,21
187200,184320,-147.7024416271452,0.0001,32,32,5000,uha,21
189280,186368,-147.68023513084816,0.0001,32,32,5000,uha,21
191360,188416,-152.31063065104667,0.0001,32,32,5000,uha,21
193440,190464,-140.46121424917285,0.0001,32,32,5000,uha,21
195520,192512,-158.4459512176023,0.0001,32,32,5000,uha,21
197600,194560,-162.75634201533518,0.0001,32,32,5000,uha,21
199680,196608,-160.85673252562387,0.0001,32,32,5000,uha,21
201760,198656,-150.41821471283896,0.0001,32,32,5000,uha,21
203840,200704,-162.88636713730563,0.0001,32,32,5000,uha,21
205920,202752,-156.84216124951715,0.0001,32,32,5000,uha,21
208000,204800,-137.712251086216,0.0001,32,32,5000,uha,21
210080,206848,-149.5906344980784,0.0001,32,32,5000,uha,21
212160,208896,-155.4525035237742,0.0001,32,32,5000,uha,21
214240,210944,-142.3020846105013,0.0001,32,32,5000,uha,21
216320,212992,-145.98646128300845,0.0001,32,32,5000,uha,21
218400,215040,-154.9387650022083,0.0001,32,32,5000,uha,21
220480,217088,-152.16399940585742,0.0001,32,32,5000,uha,21
222560,219136,-138.21898137450628,0.0001,32,32,5000,uha,21
224640,221184,-151.2191627227152,0.0001,32,32,5000,uha,21
226720,223232,-153.9485463112298,0.0001,32,32,5000,uha,21
228800,225280,-153.17178001941986,0.0001,32,32,5000,uha,21
230880,227328,-145.70510179506852,0.0001,32,32,5000,uha,21
232960,229376,-150.9424783083309,0.0001,32,32,5000,uha,21
235040,231424,-135.865034028719,0.0001,32,32,5000,uha,21
237120,233472,-150.64346628697527,0.0001,32,32,5000,uha,21
239200,235520,-152.50375938837325,0.0001,32,32,5000,uha,21
241280,237568,-145.8578276531141,0.0001,32,32,5000,uha,21
243360,239616,-143.5481001596113,0.0001,32,32,5000,uha,21
245440,241664,-144.72213720636057,0.0001,32,32,5000,uha,21
247520,243712,-156.14618140531323,0.0001,32,32,5000,uha,21
249600,245760,-136.6436790177131,0.0001,32,32,5000,uha,21
251680,247808,-144.34352937856883,0.0001,32,32,5000,uha,21
253760,249856,-146.92947566467637,0.0001,32,32,5000,uha,21
255840,251904,-150.79259459323723,0.0001,32,32,5000,uha,21
257920,253952,-158.6486088554466,0.0001,32,32,5000,uha,21
260000,256000,-159.9251614984248,0.0001,32,32,5000,uha,21
262080,258048,-148.23533712040498,0.0001,32,32,5000,uha,21
264160,260096,-130.94126718971586,0.0001,32,32,5000,uha,21
266240,262144,-141.11957537628786,0.0001,32,32,5000,uha,21
268320,264192,-136.24074688944742,0.0001,32,32,5000,uha,21
270400,266240,-154.7868755821768,0.0001,32,32,5000,uha,21
272480,268288,-159.1534722240973,0.0001,32,32,5000,uha,21
274560,270336,-159.08536330601618,0.0001,32,32,5000,uha,21
276640,272384,-156.02515877361319,0.0001,32,32,5000,uha,21
278720,274432,-130.95734828939615,0.0001,32,32,5000,uha,21
280800,276480,-151.76880991627846,0.0001,32,32,5000,uha,21
282880,278528,-151.40739706520975,0.0001,32,32,5000,uha,21
284960,280576,-126.95650217709783,0.0001,32,32,5000,uha,21
287040,282624,-146.8519729758873,0.0001,32,32,5000,uha,21
289120,284672,-153.4368203183671,0.0001,32,32,5000,uha,21
291200,286720,-159.7866718259913,0.0001,32,32,5000,uha,21
293280,288768,-155.75848655470656,0.0001,32,32,5000,uha,21
295360,290816,-137.43885516441802,0.0001,32,32,5000,uha,21
297440,292864,-142.474482012229,0.0001,32,32,5000,uha,21
299520,294912,-145.85633070645227,0.0001,32,32,5000,uha,21
301600,296960,-152.15266390742946,0.0001,32,32,5000,uha,21
303680,299008,-161.36145649079432,0.0001,32,32,5000,uha,21
305760,301056,-139.37607921238984,0.0001,32,32,5000,uha,21
307840,303104,-151.27807109070466,0.0001,32,32,5000,uha,21
309920,305152,-161.75478006069255,0.0001,32,32,5000,uha,21
312000,307200,-146.99223317715507,0.0001,32,32,5000,uha,21
314080,309248,-158.98674082196615,0.0001,32,32,5000,uha,21
316160,311296,-143.83616901075405,0.0001,32,32,5000,uha,21
318240,313344,-154.20047590836327,0.0001,32,32,5000,uha,21
320320,315392,-156.47343836071855,0.0001,32,32,5000,uha,21
322400,317440,-146.0178931207358,0.0001,32,32,5000,uha,21
324480,319488,-163.34760278296858,0.0001,32,32,5000,uha,21
326560,321536,-151.7807271306068,0.0001,32,32,5000,uha,21
328640,323584,-163.34719101302318,0.0001,32,32,5000,uha,21
330720,325632,-151.63778231580042,0.0001,32,32,5000,uha,21
332800,327680,-152.64586259875276,0.0001,32,32,5000,uha,21
334880,329728,-147.96180905598445,0.0001,32,32,5000,uha,21
336960,331776,-135.4017573572711,0.0001,32,32,5000,uha,21
339040,333824,-145.9025519044693,0.0001,32,32,5000,uha,21
