n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
2080,2048,-147.69380243452287,0.0001,32,32,5000,uha,2
4160,4096,-147.45869588025013,0.0001,32,32,5000,uha,2
6240,6144,-142.8177066749484,0.0001,32,32,5000,uha,2
8320,8192,-149.32599586509818,0.0001,32,32,5000,uha,2
10400,10240,-159.96395672259865,0.0001,32,32,5000,uha,2
12480,12288,-155.8301608219837,0.0001,32,32,5000,uha,2
14560,14336,-149.8726254211515,0.0001,32,32,5000,uha,2
16640,16384,-155.181359808302,0.0001,32,32,5000,uha,2
18720,18432,-152.17462045342802,0.0001,32,32,5000,uha,2
20800,20480,-149.10365228160487,0.0001,32,32,5000,uha,2
22880,22528,-157.57956158692247,0.0001,32,32,5000,uha,2
24960,24576,-154.94682988581172,0.0001,32,32,5000,uha,2
27040,26624,-138.35257200067846,0.0001,32,32,5000,uha,2
29120,28672,-152.98473616035514,0.0001,32,32,5000,uha,2
31200,30720,-165.78988851535823,0.0001,32,32,5000,uha,2
33280,32768,-155.7885941594751,0.0001,32,32,5000,uha,2
35360,34816,-160.91293621950365,0.0001,32,32,5000,uha,2
37440,36864,-149.33071759612568,0.0001,32,32,5000,uha,2
39520,38912,-154.53616348273385,0.0001,32,32,5000,uha,2
41600,40960,-158.5650660084685,0.0001,32,32,5000,uha,2
43680,43008,-155.8767686193767,0.0001,32,32,5000,uha,2
45760,45056,-160.30962255902205,0.0001,32,32,5000,uha,2
47840,47104,-154.53701347738735,0.0001,32,32,5000,uha,2
49920,49152,-144.2021245188792,0.0001,32,32,5000,uha,2
52000,51200,-148.44833726049913,0.0001,32,32,5000,uha,2
54080,53248,-154.44127666385364,0.0001,32,32,5000,uha,2
56160,55296,-140.66688355267362,0.0001,32,32,5000,uha,2
58240,57344,-149.51517361545356,0.0001,32,32,5000,uha,2
60320,59392,-151.70311811092472,0.0001,32,32,5000,uha,2
62400,61440,-148.53423789035915,0.0001,32,32,5000,uha,2
64480,63488,-155.11532936908236,0.0001,32,32,5000,uha,2
66560,65536,-156.91889375437324,0.0001,32,32,5000,uha,2
68640,67584,-157.1602009343806,0.0001,32,32,5000,uha,2
70720,69632,-150.09972166423807,0.0001,32,32,5000,uha,2
72800,71680,-154.9574769523851,0.0001,32,32,5000,uha,2
74880,73728,-147.18984665381623,0.0001,32,32,5000,uha,2
76960,75776,-151.21401123562984,0.0001,32,32,5000,uha,2
79040,77824,-138.0834377571955,0.0001,32,32,5000,uha,2
81120,79872,-162.81846474503095,0.0001,32,32,5000,uha,2
83200,81920,-144.77589053807546,0.0001,32,32,5000,uha,2
85280,83968,-155.52080389737446,0.0001,32,32,5000,uha,2
87360,86016,-133.84571586176781,0.0001,32,32,5000,uha,2
89440,88064,-165.32306877637362,0.0001,32,32,5000,uha,2
91520,90112,-154.4891982540098,0.0001,32,32,5000,uha,2
93600,92160,-146.96492149813216,0.0001,32,32,5000,uha,2
95680,94208,-152.4058809039064,0.0001,32,32,5000,uha,2
97760,96256,-141.08424883996094,0.0001,32,32,5000,uha,2
99840,98304,-146.0208937496913,0.0001,32,32,5000,uha,2
101920,100352,-142.83577588578459,0.0001,32,32,5000,uha,2
104000,102400,-138.9746358670041,0.0001,32,32,5000,uha,2
106080,104448,-140.67007951270335,0.0001,32,32,5000,uha,2
108160,106496,-151.02516978544554,0.0001,32,32,5000,uha,2
110240,108544,-150.56385750848494,0.0001,32,32,5000,uha,2
112320,110592,-156.25877150792078,0.0001,32,32,5000,uha,2
114400,112640,-152.33488361949438,0.0001,32,32,5000,uha,2
116480,114688,-147.2407552359378,0.0001,32,32,5000,uha,2
118560,116736,-149.0173402182148,0.0001,32,32,5000,uha,2
120640,118784,-148.79366530244036,0.0001,32,32,5000,uha,2
122720,120832,-150.17905878922696,0.0001,32,32,5000,uha,2
124800,122880,-144.21188190389228,0.0001,32,32,5000,uha,2
126880,124928,-155.37654037185035,0.0001,32,32,5000,uha,2
128960,126976,-154.5251153820544,0.0001,32,32,5000,uha,2
131040,129024,-155.64605505259584,0.0001,32,32,5000,uha,2
133120,131072,-159.7786803037642,0.0001,32,32,5000,uha,2
135200,133120,-157.3530776817918,0.0001,32,32,5000,uha,2
137280,135168,-154.68827593892564,0.0001,32,32,5000,uha,2
139360,137216,-151.14653603887788,0.0001,32,32,5000,uha,2
141440,139264,-140.78608149642795,0.0001,32,32,5000,uha,2
143520,141312,-153.26568494327034,0.0001,32,32,5000,uha,2
145600,143360,-160.0725363261673,0.0001,32,32,5000,uha,2
147680,145408,-150.85799021412004,0.0001,32,32,5000,uha,2
149760,147456,-153.71941789106498,0.0001,32,32,5000,uha,2
151840,149504,-156.56334884131869,0.0001,32,32,5000,uha,2
153920,151552,-149.35351656805474,0.0001,32,32,5000,uha,2
156000,153600,-153.63691105854394,0.0001,32,32,5000,uha,2
158080,155648,-153.8005104772833,0.0001,32,32,5000,uha,2
160160,157696,-150.5539422284989,0.0001,32,32,5000,uha,2
162240,159744,-150.66195537616127,0.0001,32,32,5000,uha,2
164320,161792,-151.5957478242306,0.0001,32,32,5000,uha,2
166400,163840,-160.4223839257936,0.0001,32,32,5000,uha,2
168480,165888,-143.0173115354306,0.0001,32,32,5000,uha,2
170560,167936,-142.23184177057306,0.0001,32,32,5000,uha,2
172640,169984,-156.5914403100215,0.0001,32,32,5000,uha,2
174720,172032,-142.83610598007377,0.0001,32,32,5000,uha,2
176800,174080,-150.31849875428009,0.0001,32,32,5000,uha,2
178880,176128,-156.09671241487354,0.0001,32,32,5000,uha,2
180960,178176,-146.99323004466012,0.0001,32,32,5000,uha,2
183040,180224,-155.93165109098317,0.0001,32,32,5000,uha,2
185120,182272,-155.27796217359736,0.0001,32,32,5000,uha,2
187200,184320,-147.28865186989427,0.0001,32,32,5000,uha,2
189280,186368,-159.0491915727782,0.0001,32,32,5000,uha,2
191360,188416,-162.96918522477458,0.0001,32,32,5000,uha,2
193440,190464,-154.59043766260754,0.0001,32,32,5000,uha,2
195520,192512,-144.42027645413214,0.0001,32,32,5000,uha,2
197600,194560,-149.40992529065616,0.0001,32,32,5000,uha,2
199680,196608,-152.41299441750996,0.0001,32,32,5000,uha,2
201760,198656,-161.84257442133497,0.0001,32,32,5000,uha,2
203840,200704,-164.9044743519166,0.0001,32,32,5000,uha,2
205920,202752,-148.77459470737443,0.0001,32,32,5000,uha,2
208000,204800,-156.35089778693757,0.0001,32,32,5000,uha,2
210080,206848,-146.10727614152296,0.0001,32,32,5000,uha,2
212160,208896,-152.60576332411998,0.0001,32,32,5000,uha,2
214240,210944,-151.1907284171709,0.0001,32,32,5000,uha,2
216320,212992,-157.90262533954314,0.0001,32,32,5000,uha,2
218400,215040,-153.55921304231072,0.0001,32,32,5000,uha,2
220480,217088,-140.3917212977092,0.0001,32,32,5000,uha,2
222560,219136,-150.93616001656474,0.0001,32,32,5000,uha,2
224640,221184,-128.85316217417767,0.0001,32,32,5000,uha,2
226720,223232,-158.4119455380074,0.0001,32,32,5000,uha,2
228800,225280,-148.13377559008921,0.0001,32,32,5000,uha,2
230880,227328,-158.70715542983328,0.0001,32,32,5000,uha,2
232960,229376,-141.3939078039872,0.0001,32,32,5000,uha,2
235040,231424,-144.4785108660983,0.0001,32,32,5000,uha,2
237120,233472,-150.19847617868876,0.0001,32,32,5000,uha,2
239200,235520,-148.20083109113358,0.0001,32,32,5000,uha,2
241280,237568,-146.875255331709,0.0001,32,32,5000,uha,2
243360,239616,-159.68804845651215,0.0001,32,32,5000,uha,2
245440,241664,-128.82883295985602,0.0001,32,32,5000,uha,2
247520,243712,-151.11181320016203,0.0001,32,32,5000,uha,2
249600,245760,-158.55429368372162,0.0001,32,32,5000,uha,2
251680,247808,-147.73563032713034,0.0001,32,32,5000,uha,2
253760,249856,-143.86534154806637,0.0001,32,32,5000,uha,2
255840,251904,-143.09508320427722,0.0001,32,32,5000,uha,2
257920,253952,-132.8810223564209,0.0001,32,32,5000,uha,2
260000,256000,-153.4172326706917,0.0001,32,32,5000,uha,2
262080,258048,-152.40819706829697,0.0001,32,32,5000,uha,2
264160,260096,-155.10688484630282,0.0001,32,32,5000,uha,2
266240,262144,-147.7956872484339,0.0001,32,32,5000,uha,2
268320,264192,-145.87954961011414,0.0001,32,32,5000,uha,2
