n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,2016,-62.43442108405411,0.01,32,32,5000,ula,24
64,4032,-60.49730203505933,0.01,32,32,5000,ula,24
96,6048,-59.93851830702434,0.01,32,32,5000,ula,24
128,8064,-56.14346975569412,0.01,32,32,5000,ula,24
160,10080,-62.175576244880844,0.01,32,32,5000,ula,24
192,12096,-58.19694979677876,0.01,32,32,5000,ula,24
224,14112,-59.31287809430071,0.01,32,32,5000,ula,24
256,16128,-57.495718333468936,0.01,32,32,5000,ula,24
288,18144,-59.524042241499586,0.01,32,32,5000,ula,24
320,20160,-61.919483441507985,0.01,32,32,5000,ula,24
352,22176,-58.98592348225233,0.01,32,32,5000,ula,24
384,24192,-49.949161594184616,0.01,32,32,5000,ula,24
416,26208,-54.55299181716182,0.01,32,32,5000,ula,24
448,28224,-59.086646475103244,0.01,32,32,5000,ula,24
480,30240,-55.66613248974869,0.01,32,32,5000,ula,24
512,32256,-57.30645024874167,0.01,32,32,5000,ula,24
544,34272,-55.41353082842495,0.01,32,32,5000,ula,24
576,36288,-55.86278777639167,0.01,32,32,5000,ula,24
608,38304,-57.275572676573674,0.01,32,32,5000,ula,24
640,40320,-52.210817074059875,0.01,32,32,5000,ula,24
672,42336,-48.39507396149776,0.01,32,32,5000,ula,24
704,44352,-49.390932625880936,0.01,32,32,5000,ula,24
736,46368,-51.233484333647844,0.01,32,32,5000,ula,24
768,48384,-54.26253183068082,0.01,32,32,5000,ula,24
800,50400,-53.700353621484226,0.01,32,32,5000,ula,24
832,52416,-55.07770800018224,0.01,32,32,5000,ula,24
864,54432,-53.15655608986746,0.01,32,32,5000,ula,24
896,56448,-55.75918848613017,0.01,32,32,5000,ula,24
928,58464,-52.88325036920579,0.01,32,32,5000,ula,24
960,60480,-52.88428957478689,0.01,32,32,5000,ula,24
992,62496,-53.25007048837277,0.01,32,32,5000,ula,24
1024,64512,-51.046964944078006,0.01,32,32,5000,ula,24
1056,66528,-47.69719715098884,0.01,32,32,5000,ula,24
1088,68544,-52.78319839052714,0.01,32,32,5000,ula,24
1120,70560,-50.72863453914584,0.01,32,32,5000,ula,24
1152,72576,-52.752225077369935,0.01,32,32,5000,ula,24
1184,74592,-47.871515638811786,0.01,32,32,5000,ula,24
1216,76608,-50.81086164616085,0.01,32,32,5000,ula,24
1248,78624,-52.986927739625926,0.01,32,32,5000,ula,24
1280,80640,-55.61443679650317,0.01,32,32,5000,ula,24
1312,82656,-48.901827492272936,0.01,32,32,5000,ula,24
1344,84672,-52.933869657340054,0.01,32,32,5000,ula,24
1376,86688,-51.723084700700625,0.01,32,32,5000,ula,24
1408,88704,-52.17209170977553,0.01,32,32,5000,ula,24
1440,90720,-55.915516135837294,0.01,32,32,5000,ula,24
1472,92736,-51.919274913795,0.01,32,32,5000,ula,24
1504,94752,-49.60671318898115,0.01,32,32,5000,ula,24
1536,96768,-47.99002834858751,0.01,32,32,5000,ula,24
1568,98784,-50.77620715339111,0.01,32,32,5000,ula,24
1600,100800,-52.84246286566598,0.01,32,32,5000,ula,24
1632,102816,-52.94953330732676,0.01,32,32,5000,ula,24
1664,104832,-49.89378435302981,0.01,32,32,5000,ula,24
1696,106848,-51.057541321057975,0.01,32,32,5000,ula,24
1728,108864,-48.57274323306902,0.01,32,32,5000,ula,24
1760,110880,-46.24598662801923,0.01,32,32,5000,ula,24
1792,112896,-48.962350283310755,0.01,32,32,5000,ula,24
1824,114912,-50.79117781773712,0.01,32,32,5000,ula,24
1856,116928,-45.13684036205875,0.01,32,32,5000,ula,24
1888,118944,-50.03728826389586,0.01,32,32,5000,ula,24
1920,120960,-52.92691889377497,0.01,32,32,5000,ula,24
1952,122976,-51.67357974701795,0.01,32,32,5000,ula,24
1984,124992,-48.24037747049751,0.01,32,32,5000,ula,24
2016,127008,-51.29238365934351,0.01,32,32,5000,ula,24
2048,129024,-48.256559917844235,0.01,32,32,5000,ula,24
2080,131040,-51.726621675719926,0.01,32,32,5000,ula,24
2112,133056,-50.583561036026445,0.01,32,32,5000,ula,24
2144,135072,-45.294253746423564,0.01,32,32,5000,ula,24
2176,137088,-52.209665634238576,0.01,32,32,5000,ula,24
2208,139104,-48.49832063421562,0.01,32,32,5000,ula,24
2240,141120,-50.84895764086246,0.01,32,32,5000,ula,24
2272,143136,-51.300148473800164,0.01,32,32,5000,ula,24
2304,145152,-50.802935036008286,0.01,32,32,5000,ula,24
2336,147168,-46.65653443239316,0.01,32,32,5000,ula,24
2368,149184,-50.54725593406254,0.01,32,32,5000,ula,24
2400,151200,-44.292592182711495,0.01,32,32,5000,ula,24
2432,153216,-45.865569882447225,0.01,32,32,5000,ula,24
2464,155232,-48.11085612040349,0.01,32,32,5000,ula,24
2496,157248,-48.33298453951242,0.01,32,32,5000,ula,24
