n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,4064,-68.58852674549914,0.01,64,32,5000,ula,8
64,8128,-54.56212803317942,0.01,64,32,5000,ula,8
96,12192,-66.91751119179392,0.01,64,32,5000,ula,8
128,16256,-68.94668261569062,0.01,64,32,5000,ula,8
160,20320,-61.66745336100942,0.01,64,32,5000,ula,8
192,24384,-62.0652088548434,0.01,64,32,5000,ula,8
224,28448,-62.23355917771846,0.01,64,32,5000,ula,8
256,32512,-63.06062904251276,0.01,64,32,5000,ula,8
288,36576,-66.00683187942082,0.01,64,32,5000,ula,8
320,40640,-62.1046375781964,0.01,64,32,5000,ula,8
352,44704,-61.972122197857956,0.01,64,32,5000,ula,8
384,48768,-61.36692781362168,0.01,64,32,5000,ula,8
416,52832,-56.88844189331638,0.01,64,32,5000,ula,8
448,56896,-62.763895926878014,0.01,64,32,5000,ula,8
480,60960,-60.6265608407091,0.01,64,32,5000,ula,8
512,65024,-52.51575153650263,0.01,64,32,5000,ula,8
544,69088,-58.09025228691125,0.01,64,32,5000,ula,8
576,73152,-60.506020669720975,0.01,64,32,5000,ula,8
608,77216,-58.84307129260611,0.01,64,32,5000,ula,8
640,81280,-59.05915230251814,0.01,64,32,5000,ula,8
672,85344,-51.351220923260506,0.01,64,32,5000,ula,8
704,89408,-57.93954559046942,0.01,64,32,5000,ula,8
736,93472,-57.8698187439016,0.01,64,32,5000,ula,8
768,97536,-52.93693286376772,0.01,64,32,5000,ula,8
800,101600,-59.774103765459095,0.01,64,32,5000,ula,8
832,105664,-53.774102914269115,0.01,64,32,5000,ula,8
864,109728,-57.09752297936685,0.01,64,32,5000,ula,8
896,113792,-51.08386669713998,0.01,64,32,5000,ula,8
928,117856,-46.753729545311174,0.01,64,32,5000,ula,8
960,121920,-51.43100709924899,0.01,64,32,5000,ula,8
992,125984,-53.38450032512152,0.01,64,32,5000,ula,8
1024,130048,-54.49405869362213,0.01,64,32,5000,ula,8
1056,134112,-46.22424006808965,0.01,64,32,5000,ula,8
1088,138176,-51.375213892099744,0.01,64,32,5000,ula,8
1120,142240,-50.95688837286275,0.01,64,32,5000,ula,8
1152,146304,-51.12718727452495,0.01,64,32,5000,ula,8
1184,150368,-54.64182016134344,0.01,64,32,5000,ula,8
1216,154432,-53.16452655932186,0.01,64,32,5000,ula,8
1248,158496,-45.3743676403314,0.01,64,32,5000,ula,8
1280,162560,-52.359389405645715,0.01,64,32,5000,ula,8
1312,166624,-52.91573752620009,0.01,64,32,5000,ula,8
1344,170688,-50.686726208229544,0.01,64,32,5000,ula,8
1376,174752,-53.63320357954053,0.01,64,32,5000,ula,8
1408,178816,-50.41760962291708,0.01,64,32,5000,ula,8
1440,182880,-50.472026790735875,0.01,64,32,5000,ula,8
1472,186944,-48.50610108750693,0.01,64,32,5000,ula,8
1504,191008,-47.312224897280444,0.01,64,32,5000,ula,8
1536,195072,-49.325440804320344,0.01,64,32,5000,ula,8
1568,199136,-43.48255823007649,0.01,64,32,5000,ula,8
1600,203200,-47.871786289675384,0.01,64,32,5000,ula,8
1632,207264,-46.15195928314274,0.01,64,32,5000,ula,8
1664,211328,-46.05122360965891,0.01,64,32,5000,ula,8
1696,215392,-47.75611379427687,0.01,64,32,5000,ula,8
1728,219456,-44.441548982099064,0.01,64,32,5000,ula,8
1760,223520,-47.32466719830012,0.01,64,32,5000,ula,8
1792,227584,-45.72968155543483,0.01,64,32,5000,ula,8
1824,231648,-48.23483396891956,0.01,64,32,5000,ula,8
1856,235712,-45.63775577233118,0.01,64,32,5000,ula,8
1888,239776,-45.1832716488142,0.01,64,32,5000,ula,8
1920,243840,-45.27611934986587,0.01,64,32,5000,ula,8
1952,247904,-42.52116440951982,0.01,64,32,5000,ula,8
1984,251968,-46.777464319440156,0.01,64,32,5000,ula,8
2016,256032,-44.91227520814683,0.01,64,32,5000,ula,8
2048,260096,-42.099505808658726,0.01,64,32,5000,ula,8
2080,264160,-46.35521271690236,0.01,64,32,5000,ula,8
2112,268224,-45.22482928949027,0.01,64,32,5000,ula,8
2144,272288,-44.725804240966475,0.01,64,32,5000,ula,8
2176,276352,-41.24341191033573,0.01,64,32,5000,ula,8
2208,280416,-43.59454520695435,0.01,64,32,5000,ula,8
2240,284480,-46.42629369096916,0.01,64,32,5000,ula,8
2272,288544,-48.5456800062559,0.01,64,32,5000,ula,8
2304,292608,-45.657295042687814,0.01,64,32,5000,ula,8
2336,296672,-43.49023014348747,0.01,64,32,5000,ula,8
2368,300736,-43.090802323338345,0.01,64,32,5000,ula,8
2400,304800,-47.301412113349265,0.01,64,32,5000,ula,8
2432,308864,-46.39238721095253,0.01,64,32,5000,ula,8
2464,312928,-42.1306993519414,0.01,64,32,5000,ula,8
2496,316992,-37.07002199366082,0.01,64,32,5000,ula,8
2528,321056,-42.381895887558876,0.01,64,32,5000,ula,8
2560,325120,-44.21967662589616,0.01,64,32,5000,ula,8
2592,329184,-45.27401162713577,0.01,64,32,5000,ula,8
2624,333248,-44.81132180896953,0.01,64,32,5000,ula,8
2656,337312,-46.60587276042995,0.01,64,32,5000,ula,8
2688,341376,-43.17175426944241,0.01,64,32,5000,ula,8
2720,345440,-43.8192408020641,0.01,64,32,5000,ula,8
2752,349504,-46.84371019969142,0.01,64,32,5000,ula,8
2784,353568,-41.660870170738946,0.01,64,32,5000,ula,8
2816,357632,-42.83642146207405,0.01,64,32,5000,ula,8
